,procedure,low,high,avg_sq_ft,,,
,buffing,"24,375","32,500","28,438",,,
,buffing,"30,000","40,000","35,000",,,
,buffing,"37,500","50,000","43,750",,,
,buffing,"45,000","60,000","52,500",,,
,buffing,"48,750","65,000","56,875",,,
,buffing,"52,500","70,000","61,250",,,
,buffing,"56,250","75,000","65,625",,,
,buffing,"60,000","80,000","70,000",,,
,buffing,"63,750","85,000","74,375",,,
,buffing,"67,500","90,000","78,750",,,
,buffing,"75,000","100,000","87,500",,,
,buffing,"78,750","105,000","91,875",,,
,buffing,"90,000","120,000","105,000",,,
,buffing,"101,250","135,000","118,125",,,
,buffing,"105,000","140,000","122,500",,,
,stripping,"8,125","16,250","12,188",,,
,stripping,"10,000","20,000","15,000",,,
,stripping,"12,500","25,000","18,750",,,
,stripping,"15,000","30,000","22,500",,,
,stripping,"16,250","32,500","24,375",,,
,stripping,"17,500","35,000","26,250",,,
,stripping,"18,750","37,500","28,125",,,
,stripping,"20,000","40,000","30,000",,,
,stripping,"21,250","42,500","31,875",,,
,stripping,"22,500","45,000","33,750",,,
,stripping,"25,000","50,000","37,500",,,
,stripping,"30,000","60,000","45,000",,,
