procedure,sq_ft,minutes,sq_ft_per_hour
"357 Apply Floor Finish using Mop 1,000 36.00 1,667","1,000",36.00,"1,667"
"358 Apply Floor Finish using Lambswool Applicator 1,000 30.00 2,000","1,000",30.00,"2,000"
"359 Apply Floor finish using Gravity-Feed Applicator 1,000 24.00 2,500","1,000",24.00,"2,500"
"360 Refinish using 10 gallon rolling bucket ergonomic handle flat microfiber mop 1,000 5.0 12,000","1,000",5.0,"12,000"
"361 Apply Floor Finish using back pack applicator and 24"" microfiber mop 1,000 9.5 6,316","1,000",9.5,"6,316"
"362 Apply Floor Seal using Mop 1,000 36.00 1,667","1,000",36.00,"1,667"
"363 Apply Floor Seal using Lambswool Applicator 1,000 30.00 2,000","1,000",30.00,"2,000"
"364 Apply Floor Seal using Gravity-Feed Applicator 1,000 24.00 2,500","1,000",24.00,"2,500"
"365 Apply Floor Seal using back pack applicator and 24"" microfiber mop 1,000 9.5 6,316","1,000",9.5,"6,316"
"366 Apply Floor Seal using 10 gallon rolling bucket, ergonomic handle, flat microfiber mop 1,000 6.5 9,231","1,000",6.5,"9,231"
"367 Clean Baseboards w/ Manual Swivel Cleaning Tool & Handle 1,000 6.60 9,091","1,000",6.60,"9,091"
"368 Clean Baseboards w/ Automatic Rotary Vertical Brush Machine 1,000 3.00 20,000","1,000",3.00,"20,000"
"369 Damp Mop w/ 12 oz. Mop Head using Single Bucket & Wringer 1,000 16.80 3,571","1,000",16.80,"3,571"
"370 Damp Mop w/ 12 oz. Mop Head using Double Bucket & Wringer 1,000 15.60 3,846","1,000",15.60,"3,846"
"371 Damp Mop w/ 16 oz. Mop Head using Single Bucket & Wringer 1,000 14.40 4,167","1,000",14.40,"4,167"
"372 Damp Mop w/ 16 oz. Mop Head using Double Bucket & Wringer 1,000 13.20 4,545","1,000",13.20,"4,545"
"373 Damp Mop w/ 24 oz. Mop Head using Single Bucket & Wringer 1,000 12.00 5,000","1,000",12.00,"5,000"
"374 Damp Mop w/ 24 oz. Mop Head using Double Bucket & Wringer 1,000 10.80 5,556","1,000",10.80,"5,556"
"375 Damp Mop w/ 32 oz. Mop Head using Single Bucket & Wringer 1,000 9.60 6,250","1,000",9.60,"6,250"
"376 Damp Mop w/ 32 oz. Mop Head using Double Bucket & Wringer 1,000 8.40 7,143","1,000",8.40,"7,143"
"377 Damp Mop w/ 18"" Microfiber Flat, Break Mop Holder, Using Double-Sided Bucket and Open-Base Wringer 1,000 6.18 23,810","1,000",6.18,"23,810"
"378 Damp Mop using 10 gallon rolling bucket, ergonomic handle flat microfiber mop 1,000 6.5 9,231","1,000",6.5,"9,231"
"379 Dry Buff/Polish w/ 175 rpm 12"" Rotary Floor Machine Electric 1,000 40.20 1,493","1,000",40.20,"1,493"
"380 Dry Buff/Polish w/ 175 rpm 14"" Rotary Floor Machine Electric 1,000 34.80 1,724","1,000",34.80,"1,724"
"381 Dry Buff/Polish w/ 175 rpm 17"" Rotary Floor Machine Electric 1,000 30.00 2,000","1,000",30.00,"2,000"
"382 Dry Buff/Polish w/ 175 rpm 20"" Rotary Floor Machine Electric 1,000 25.20 2,381","1,000",25.20,"2,381"
"383 Dry Buff/Polish w/ 350 rpm 17"" Rotary Floor Machine Electric 1,000 19.80 3,030","1,000",19.80,"3,030"
"384 Dry Buff/Polish w/ 350 rpm 20"" Rotary Floor Machine Electric 1,000 15.00 4,000","1,000",15.00,"4,000"
"385 Dry Buff/Polish w/ 1000 + rpm 17"" Rotary Floor Machine Electric 1,000 7.20 8,333","1,000",7.20,"8,333"
"386 Dry Buff/Polish w/ 1000 + rpm 20"" Rotary Floor Machine Electric 1,000 6.60 9,091","1,000",6.60,"9,091"
"387 Dry Buff/Polish w/ 1000 + rpm 27"" Rotary Floor Machine Electric 1,000 4.80 12,500","1,000",4.80,"12,500"
"388 Dry Buff/Polish w/ 2000 + rpm 17"" Rotary Floor Machine Electric 1,000 6.60 9,091","1,000",6.60,"9,091"
"389 Dry Buff/Polish w/ 2000 + rpm 20"" Rotary Floor Machine Electric 1,000 6.00 10,000","1,000",6.00,"10,000"
"390 Dry Burnish w/ 2000 + rpm 24"" Burnisher - Battery - Self Propelled 1,000 3.33 18,018","1,000",3.33,"18,018"
"391 Dry Buff/Polish w/ 2000 + rpm 24"" Rotary Floor Machine Electric 1,000 4.80 12,500","1,000",4.80,"12,500"
"392 Dry Buff/Polish w/ 2000 + rpm 27"" Rotary Floor Machine Electric 1,000 4.20 14,286","1,000",4.20,"14,286"
"393 Dry Buff/Polish w/ 2000 + rpm 22"" Rotary Floor Machine - Battery 1,000 3.35 17,910","1,000",3.35,"17,910"
"394 Dry Buff/Polish w/ 2000 + rpm 17"" Rotary Floor Machine - Propane 1,000 4.30 13,953","1,000",4.30,"13,953"
"395 Dry Buff/Polish w/ 2000 + rpm 20"" Rotary Floor Machine - Propane 1,000 3.65 16,438","1,000",3.65,"16,438"
"396 Dry Burnish w/ 2000 + rpm 24"" Burnisher - Electric 1,000 4.75 12,632","1,000",4.75,"12,632"
